Payment Date,Payment Amount,Payment Source,Confirmation ID,Payment Status
2024-09-09 12:00 am,-196.31,Invoice Cloud CC,,Valid
2024-10-11 12:00 am,-108.35,Invoice Cloud CC,,Valid
2024-11-12 12:00 am,-153.49,Invoice Cloud CC,,Valid
2024-12-10 12:00 am,-125.04,Invoice Cloud CC,,Valid
2025-01-16 12:00 am,-153.49,Invoice Cloud CC,,Valid
2025-02-18 12:00 am,-130.66,Meridian IDEA CC,18870443,Valid
2025-03-24 12:00 am,-199.13,Meridian IDEA CC,19402047,Valid
2025-04-18 12:00 am,-123.63,Meridian IDEA CC,19832319,Valid
2025-05-16 7:49 am,-145.05,Meridian IDEA CC,20272224,Valid
2025-06-17 7:26 am,-163.65,Meridian IDEA CC,20755709,Valid
2025-07-15 7:29 am,-209.30,Meridian IDEA CC,21203834,Valid
2025-08-15 7:23 am,-262.51,Meridian IDEA CC,21745637,Valid
2025-09-18 7:31 am,-229.20,Meridian IDEA CC,22294801,Valid
2025-10-22 7:21 am,-230.79,Meridian IDEA CC,22807746,Valid
2025-11-24 7:24 am,-222.85,Meridian IDEA CC,23303299,Valid
2026-01-12 7:25 am,-359.01,Meridian IDEA CC,24125423,Valid
2026-02-18 7:23 am,-238.73,Meridian IDEA CC,24744299,Valid
2026-03-25 7:22 am,-336.79,Meridian IDEA CC,25355408,Valid
2026-04-28 7:30 am,-203.24,Meridian IDEA CC,25903186,Valid
2026-05-29 7:28 am,-229.20,Meridian IDEA CC,26428847,Valid
2026-07-01 12:09 pm,-117.70,Meridian IDEA CC,26989127,Valid
Account ID,,,,
3491396160,,,,
